x-axis,1,F1
second,Ampere,Volt
-2.0000000E+00,-1.1470E-03,+3.7645264E+00
-1.9996800E+00,-1.1470E-03,+3.7645264E+00
-1.9993600E+00,-1.1470E-03,+3.7645264E+00
-1.9990400E+00,-1.1470E-03,+3.7645264E+00
-1.9987200E+00,-1.1470E-03,+3.9654541E+00
-1.9984000E+00,-1.1470E-03,+3.7645264E+00
-1.9980800E+00,-1.1470E-03,+3.8045654E+00
-1.9977600E+00,-1.1470E-03,+3.7645264E+00
-1.9974400E+00,-1.1470E-03,+3.8045654E+00
-1.9971200E+00,-1.1470E-03,+3.7645264E+00
-1.9968000E+00,-1.1470E-03,+3.7645264E+00
-1.9964800E+00,-1.1470E-03,+3.7645264E+00
-1.9961600E+00,-343.0E-06,+3.7645264E+00
-1.9958400E+00,-1.1470E-03,+3.7645264E+00
-1.9955200E+00,-1.1470E-03,+3.7645264E+00
-1.9952000E+00,-343.0E-06,+3.7645264E+00
-1.9948800E+00,-343.0E-06,+3.7645264E+00
-1.9945600E+00,-1.1470E-03,+3.7645264E+00
-1.9942400E+00,-1.9510E-03,+3.7645264E+00
-1.9939200E+00,-1.1470E-03,+3.8045654E+00
-1.9936000E+00,-1.9510E-03,+3.7645264E+00
-1.9932800E+00,-1.1470E-03,+3.7645264E+00
-1.9929600E+00,-1.1470E-03,+3.7645264E+00
-1.9926400E+00,-1.1470E-03,+3.7645264E+00
-1.9923200E+00,-1.1470E-03,+3.7645264E+00
-1.9920000E+00,-1.9510E-03,+3.7645264E+00
-1.9916800E+00,-1.1470E-03,+3.7645264E+00
-1.9913600E+00,-1.9510E-03,+3.7645264E+00
-1.9910400E+00,-343.0E-06,+3.7645264E+00
-1.9907200E+00,-1.1470E-03,+3.7645264E+00
-1.9904000E+00,-1.1470E-03,+3.7645264E+00
-1.9900800E+00,-1.1470E-03,+3.7645264E+00
-1.9897600E+00,-1.1470E-03,+3.7645264E+00
-1.9894400E+00,-1.1470E-03,+3.7645264E+00
-1.9891200E+00,-343.0E-06,+3.7645264E+00
-1.9888000E+00,-1.1470E-03,+3.7645264E+00
-1.9884800E+00,-1.1470E-03,+3.7645264E+00
-1.9881600E+00,-343.0E-06,+3.7645264E+00
-1.9878400E+00,-1.1470E-03,+3.7645264E+00
-1.9875200E+00,-1.1470E-03,+3.7645264E+00
-1.9872000E+00,-343.0E-06,+3.7645264E+00
-1.9868800E+00,-1.1470E-03,+3.7645264E+00
-1.9865600E+00,-1.1470E-03,+3.7645264E+00
-1.9862400E+00,-1.1470E-03,+3.7645264E+00
-1.9859200E+00,-1.1470E-03,+3.7645264E+00
-1.9856000E+00,-343.0E-06,+3.7645264E+00
-1.9852800E+00,-1.1470E-03,+3.7645264E+00
-1.9849600E+00,-1.9510E-03,+3.7645264E+00
-1.9846400E+00,-343.0E-06,+3.7645264E+00
-1.9843200E+00,-1.1470E-03,+3.7645264E+00
-1.9840000E+00,-1.1470E-03,+3.7645264E+00
-1.9836800E+00,-1.1470E-03,+3.7645264E+00
-1.9833600E+00,-1.1470E-03,+3.7645264E+00
-1.9830400E+00,-343.0E-06,+3.9654541E+00
-1.9827200E+00,-1.1470E-03,+3.7645264E+00
-1.9824000E+00,-343.0E-06,+3.7645264E+00
-1.9820800E+00,-1.1470E-03,+3.7645264E+00
-1.9817600E+00,-1.9510E-03,+3.7645264E+00
-1.9814400E+00,-1.1470E-03,+3.7645264E+00
-1.9811200E+00,-1.1470E-03,+3.7645264E+00
-1.9808000E+00,-1.1470E-03,+3.7645264E+00
-1.9804800E+00,-343.0E-06,+3.7645264E+00
-1.9801600E+00,-1.1470E-03,+3.7645264E+00
-1.9798400E+00,-1.1470E-03,+3.7645264E+00
-1.9795200E+00,-343.0E-06,+3.7645264E+00
-1.9792000E+00,-1.1470E-03,+3.7645264E+00
-1.9788800E+00,-1.1470E-03,+3.7645264E+00
-1.9785600E+00,-1.1470E-03,+3.7645264E+00
-1.9782400E+00,-1.1470E-03,+3.7645264E+00
-1.9779200E+00,-343.0E-06,+3.7645264E+00
-1.9776000E+00,-343.0E-06,+3.7645264E+00
-1.9772800E+00,-1.1470E-03,+3.7645264E+00
-1.9769600E+00,-1.1470E-03,+3.7645264E+00
-1.9766400E+00,-1.1470E-03,+3.7645264E+00
-1.9763200E+00,-343.0E-06,+3.7645264E+00
-1.9760000E+00,-1.1470E-03,+3.7645264E+00
-1.9756800E+00,-1.1470E-03,+3.7645264E+00
-1.9753600E+00,-1.1470E-03,+3.7645264E+00
-1.9750400E+00,-1.1470E-03,+3.7645264E+00
-1.9747200E+00,-343.0E-06,+3.8045654E+00
-1.9744000E+00,-1.1470E-03,+3.7645264E+00
-1.9740800E+00,-1.1470E-03,+3.7645264E+00
-1.9737600E+00,-1.9510E-03,+3.7645264E+00
-1.9734400E+00,-1.1470E-03,+3.7645264E+00
-1.9731200E+00,-1.1470E-03,+3.7645264E+00
-1.9728000E+00,-1.1470E-03,+3.7645264E+00
-1.9724800E+00,-343.0E-06,+3.7645264E+00
-1.9721600E+00,-1.1470E-03,+3.7645264E+00
-1.9718400E+00,-1.1470E-03,+3.8045654E+00
-1.9715200E+00,-1.1470E-03,+3.7645264E+00
-1.9712000E+00,-343.0E-06,+3.7645264E+00
-1.9708800E+00,-1.1470E-03,+3.7645264E+00
-1.9705600E+00,-343.0E-06,+3.7645264E+00
-1.9702400E+00,-1.1470E-03,+3.7645264E+00
-1.9699200E+00,-1.1470E-03,+3.7645264E+00
-1.9696000E+00,-1.1470E-03,+3.7645264E+00
-1.9692800E+00,-1.1470E-03,+3.7645264E+00
-1.9689600E+00,-1.1470E-03,+3.8045654E+00
-1.9686400E+00,-343.0E-06,+3.7645264E+00
-1.9683200E+00,-1.1470E-03,+3.7645264E+00
-1.9680000E+00,-1.1470E-03,+3.7645264E+00
-1.9676800E+00,-1.1470E-03,+3.7645264E+00
-1.9673600E+00,-1.9510E-03,+3.7645264E+00
-1.9670400E+00,-1.1470E-03,+3.7645264E+00
-1.9667200E+00,-1.1470E-03,+3.7645264E+00
-1.9664000E+00,-1.1470E-03,+3.7645264E+00
-1.9660800E+00,-1.1470E-03,+3.7645264E+00
-1.9657600E+00,-1.1470E-03,+3.7645264E+00
-1.9654400E+00,-343.0E-06,+3.7645264E+00
-1.9651200E+00,-1.1470E-03,+3.7645264E+00
-1.9648000E+00,-1.1470E-03,+3.7645264E+00
-1.9644800E+00,-1.1470E-03,+3.7645264E+00
-1.9641600E+00,-1.1470E-03,+3.9654541E+00
-1.9638400E+00,-1.1470E-03,+3.7645264E+00
-1.9635200E+00,-1.1470E-03,+3.8045654E+00
-1.9632000E+00,-1.1470E-03,+3.7645264E+00
-1.9628800E+00,-343.0E-06,+3.7645264E+00
-1.9625600E+00,-1.1470E-03,+3.7645264E+00
-1.9622400E+00,-343.0E-06,+3.7645264E+00
