x-axis,1,F1
second,Ampere,Volt
-1.0000000E+00,-1.1970E-03,+3.7645264E+00
-999.8400E-03,-1.1970E-03,+3.7645264E+00
-999.6800E-03,-1.1970E-03,+3.7645264E+00
-999.5200E-03,-1.1970E-03,+3.7645264E+00
-999.3600E-03,-1.1970E-03,+3.7645264E+00
-999.2000E-03,-1.1970E-03,+3.7645264E+00
-999.0400E-03,-393.0E-06,+3.7645264E+00
-998.8800E-03,-393.0E-06,+3.7645264E+00
-998.7200E-03,-393.0E-06,+3.7645264E+00
-998.5600E-03,-393.0E-06,+3.7645264E+00
-998.4000E-03,-2.0010E-03,+3.7645264E+00
-998.2400E-03,-1.1970E-03,+3.7645264E+00
-998.0800E-03,-1.1970E-03,+3.7645264E+00
-997.9200E-03,-1.1970E-03,+3.7645264E+00
-997.7600E-03,-1.1970E-03,+3.7645264E+00
-997.6000E-03,-1.1970E-03,+3.7645264E+00
-997.4400E-03,-1.1970E-03,+3.7645264E+00
-997.2800E-03,-1.1970E-03,+3.7645264E+00
-997.1200E-03,-1.1970E-03,+3.7645264E+00
-996.9600E-03,-1.1970E-03,+3.7645264E+00
-996.8000E-03,-1.1970E-03,+3.7645264E+00
-996.6400E-03,-1.1970E-03,+3.7645264E+00
-996.4800E-03,-393.0E-06,+3.7645264E+00
-996.3200E-03,-1.1970E-03,+3.7645264E+00
-996.1600E-03,-1.1970E-03,+3.7645264E+00
-996.0000E-03,-1.1970E-03,+3.7645264E+00
-995.8400E-03,-1.1970E-03,+3.7645264E+00
-995.6800E-03,-1.1970E-03,+3.7645264E+00
-995.5200E-03,-2.0010E-03,+3.7645264E+00
-995.3600E-03,-2.0010E-03,+3.7645264E+00
-995.2000E-03,-1.1970E-03,+3.7645264E+00
-995.0400E-03,-393.0E-06,+3.7645264E+00
-994.8800E-03,-393.0E-06,+3.7645264E+00
-994.7200E-03,-1.1970E-03,+3.7645264E+00
-994.5600E-03,-1.1970E-03,+3.7645264E+00
-994.4000E-03,-1.1970E-03,+3.7645264E+00
-994.2400E-03,-1.1970E-03,+3.7645264E+00
-994.0800E-03,-1.1970E-03,+3.7645264E+00
-993.9200E-03,-1.1970E-03,+3.7645264E+00
-993.7600E-03,-393.0E-06,+3.7645264E+00
-993.6000E-03,-1.1970E-03,+3.7645264E+00
-993.4400E-03,-1.1970E-03,+3.7645264E+00
-993.2800E-03,-1.1970E-03,+3.7645264E+00
-993.1200E-03,-393.0E-06,+3.7645264E+00
-992.9600E-03,-1.1970E-03,+3.7645264E+00
-992.8000E-03,-1.1970E-03,+3.7645264E+00
-992.6400E-03,-1.1970E-03,+3.7645264E+00
-992.4800E-03,-1.1970E-03,+3.7645264E+00
-992.3200E-03,-1.1970E-03,+3.7645264E+00
-992.1600E-03,-393.0E-06,+3.7645264E+00
-992.0000E-03,-393.0E-06,+3.7645264E+00
-991.8400E-03,-2.0010E-03,+3.7645264E+00
-991.6800E-03,-1.1970E-03,+3.7645264E+00
-991.5200E-03,-1.1970E-03,+3.7645264E+00
-991.3600E-03,-1.1970E-03,+3.7645264E+00
-991.2000E-03,-2.0010E-03,+3.7645264E+00
-991.0400E-03,-1.1970E-03,+3.7645264E+00
-990.8800E-03,-1.1970E-03,+3.7645264E+00
-990.7200E-03,-1.1970E-03,+3.7645264E+00
-990.5600E-03,-1.1970E-03,+3.7645264E+00
-990.4000E-03,-1.1970E-03,+3.7645264E+00
-990.2400E-03,-1.1970E-03,+3.7645264E+00
-990.0800E-03,-1.1970E-03,+3.7645264E+00
-989.9200E-03,-393.0E-06,+3.7645264E+00
-989.7600E-03,-1.1970E-03,+3.7645264E+00
-989.6000E-03,-1.1970E-03,+3.7645264E+00
-989.4400E-03,-2.0010E-03,+3.7645264E+00
-989.2800E-03,-1.1970E-03,+3.7645264E+00
-989.1200E-03,-1.1970E-03,+3.7645264E+00
-988.9600E-03,-1.1970E-03,+3.7645264E+00
-988.8000E-03,-1.1970E-03,+3.7645264E+00
-988.6400E-03,-1.1970E-03,+3.7645264E+00
-988.4800E-03,-2.0010E-03,+3.7645264E+00
-988.3200E-03,-393.0E-06,+3.7645264E+00
-988.1600E-03,-1.1970E-03,+3.7645264E+00
-988.0000E-03,-1.1970E-03,+3.7645264E+00
-987.8400E-03,-1.1970E-03,+3.7645264E+00
-987.6800E-03,-1.1970E-03,+3.7645264E+00
-987.5200E-03,-1.1970E-03,+3.7645264E+00
-987.3600E-03,-1.1970E-03,+3.7645264E+00
