x-axis,1,F1
second,Ampere,Volt
-500.00000E-03,-1.19699E-03,+3.41589355E+00
-499.92000E-03,-1.19699E-03,+3.41589355E+00
-499.84000E-03,-392.97E-06,+3.41589355E+00
-499.76000E-03,-1.19699E-03,+3.61682129E+00
-499.68000E-03,-392.97E-06,+3.41589355E+00
-499.60000E-03,-2.00101E-03,+3.41589355E+00
-499.52000E-03,-1.19699E-03,+3.41589355E+00
-499.44000E-03,+411.05E-06,+3.41589355E+00
-499.36000E-03,-1.19699E-03,+3.41589355E+00
-499.28000E-03,-1.19699E-03,+3.41589355E+00
-499.20000E-03,-1.19699E-03,+3.41589355E+00
-499.12000E-03,-1.19699E-03,+3.61682129E+00
-499.04000E-03,-1.19699E-03,+3.41589355E+00
-498.96000E-03,-392.97E-06,+3.41589355E+00
-498.88000E-03,+411.05E-06,+3.61682129E+00
-498.80000E-03,-392.97E-06,+3.41589355E+00
-498.72000E-03,-1.19699E-03,+3.41589355E+00
-498.64000E-03,-1.19699E-03,+3.61682129E+00
-498.56000E-03,-1.19699E-03,+3.41589355E+00
-498.48000E-03,-392.97E-06,+3.41589355E+00
-498.40000E-03,-1.19699E-03,+3.41589355E+00
-498.32000E-03,-1.19699E-03,+3.41589355E+00
-498.24000E-03,-1.19699E-03,+3.41589355E+00
-498.16000E-03,-392.97E-06,+3.41589355E+00
-498.08000E-03,-2.00101E-03,+3.61682129E+00
-498.00000E-03,-1.19699E-03,+3.41589355E+00
-497.92000E-03,-1.19699E-03,+3.41589355E+00
-497.84000E-03,-392.97E-06,+3.41589355E+00
-497.76000E-03,+1.21507E-03,+3.41589355E+00
-497.68000E-03,-392.97E-06,+3.41589355E+00
-497.60000E-03,-1.19699E-03,+3.61682129E+00
-497.52000E-03,-392.97E-06,+3.61682129E+00
-497.44000E-03,-1.19699E-03,+3.61682129E+00
-497.36000E-03,-392.97E-06,+3.41589355E+00
-497.28000E-03,-392.97E-06,+3.41589355E+00
-497.20000E-03,+411.05E-06,+3.41589355E+00
-497.12000E-03,-2.00101E-03,+3.41589355E+00
-497.04000E-03,-392.97E-06,+3.41589355E+00
-496.96000E-03,+411.05E-06,+3.61682129E+00
-496.88000E-03,+411.05E-06,+3.41589355E+00
-496.80000E-03,-2.80503E-03,+3.41589355E+00
-496.72000E-03,-2.00101E-03,+3.41589355E+00
-496.64000E-03,-1.19699E-03,+3.41589355E+00
-496.56000E-03,-392.97E-06,+3.41589355E+00
-496.48000E-03,-392.97E-06,+3.41589355E+00
-496.40000E-03,-2.00101E-03,+3.41589355E+00
-496.32000E-03,-2.00101E-03,+3.41589355E+00
-496.24000E-03,-1.19699E-03,+3.41589355E+00
-496.16000E-03,+411.05E-06,+3.41589355E+00
-496.08000E-03,-2.80503E-03,+3.61682129E+00
-496.00000E-03,-392.97E-06,+3.41589355E+00
-495.92000E-03,-1.19699E-03,+3.41589355E+00
-495.84000E-03,-1.19699E-03,+3.41589355E+00
-495.76000E-03,-1.19699E-03,+3.41589355E+00
-495.68000E-03,-2.80503E-03,+3.41589355E+00
-495.60000E-03,-1.19699E-03,+3.61682129E+00
-495.52000E-03,-392.97E-06,+3.41589355E+00
-495.44000E-03,-392.97E-06,+3.41589355E+00
-495.36000E-03,-392.97E-06,+3.41589355E+00
-495.28000E-03,-1.19699E-03,+3.41589355E+00
-495.20000E-03,-2.00101E-03,+3.61682129E+00
-495.12000E-03,-392.97E-06,+3.41589355E+00
-495.04000E-03,-2.00101E-03,+3.41589355E+00
-494.96000E-03,-1.19699E-03,+3.41589355E+00
-494.88000E-03,-2.00101E-03,+3.41589355E+00
-494.80000E-03,-1.19699E-03,+3.61682129E+00
-494.72000E-03,-2.00101E-03,+3.41589355E+00
-494.64000E-03,+1.21507E-03,+3.41589355E+00
-494.56000E-03,+411.05E-06,+3.41589355E+00
-494.48000E-03,-392.97E-06,+3.41589355E+00
-494.40000E-03,-392.97E-06,+3.41589355E+00
-494.32000E-03,-2.00101E-03,+3.41589355E+00
-494.24000E-03,-2.80503E-03,+3.61682129E+00
-494.16000E-03,+411.05E-06,+3.41589355E+00
-494.08000E-03,-1.19699E-03,+3.41589355E+00
-494.00000E-03,-2.80503E-03,+3.41589355E+00
-493.92000E-03,-392.97E-06,+3.41589355E+00
-493.84000E-03,-2.00101E-03,+3.41589355E+00
-493.76000E-03,-392.97E-06,+3.41589355E+00
-493.68000E-03,-2.00101E-03,+3.41589355E+00
-493.60000E-03,-2.00101E-03,+3.61682129E+00
-493.52000E-03,-2.00101E-03,+3.41589355E+00
-493.44000E-03,-1.19699E-03,+3.61682129E+00
-493.36000E-03,-2.00101E-03,+3.41589355E+00
-493.28000E-03,-392.97E-06,+3.41589355E+00
-493.20000E-03,-1.19699E-03,+3.41589355E+00
-493.12000E-03,-2.00101E-03,+3.41589355E+00
-493.04000E-03,+411.05E-06,+3.61682129E+00
-492.96000E-03,-2.80503E-03,+3.41589355E+00
-492.88000E-03,-3.60905E-03,+3.41589355E+00
-492.80000E-03,-2.00101E-03,+3.41589355E+00
-492.72000E-03,-1.19699E-03,+3.41589355E+00
-492.64000E-03,-1.19699E-03,+3.41589355E+00
-492.56000E-03,-1.19699E-03,+3.41589355E+00
-492.48000E-03,-392.97E-06,+3.41589355E+00
-492.40000E-03,-1.19699E-03,+3.41589355E+00
-492.32000E-03,-2.00101E-03,+3.41589355E+00
-492.24000E-03,+411.05E-06,+3.41589355E+00
-492.16000E-03,-392.97E-06,+3.41589355E+00
-492.08000E-03,-1.19699E-03,+3.61682129E+00
-492.00000E-03,-2.00101E-03,+3.41589355E+00
-491.92000E-03,-1.19699E-03,+3.41589355E+00
-491.84000E-03,-1.19699E-03,+3.41589355E+00
-491.76000E-03,-1.19699E-03,+3.41589355E+00
-491.68000E-03,-392.97E-06,+3.41589355E+00
-491.60000E-03,+411.05E-06,+3.41589355E+00
-491.52000E-03,-1.19699E-03,+3.41589355E+00
-491.44000E-03,-1.19699E-03,+3.41589355E+00
-491.36000E-03,-392.97E-06,+3.41589355E+00
-491.28000E-03,-392.97E-06,+3.41589355E+00
-491.20000E-03,-392.97E-06,+3.41589355E+00
-491.12000E-03,-1.19699E-03,+3.41589355E+00
-491.04000E-03,-392.97E-06,+3.41589355E+00
-490.96000E-03,-392.97E-06,+3.61682129E+00
-490.88000E-03,-1.19699E-03,+3.61682129E+00
-490.80000E-03,-2.00101E-03,+3.41589355E+00
-490.72000E-03,-2.00101E-03,+3.41589355E+00
-490.64000E-03,-392.97E-06,+3.41589355E+00
-490.56000E-03,-2.00101E-03,+3.41589355E+00
-490.48000E-03,-392.97E-06,+3.61682129E+00
-490.40000E-03,-392.97E-06,+3.61682129E+00
-490.32000E-03,-392.97E-06,+3.41589355E+00
-490.24000E-03,-392.97E-06,+3.61682129E+00
-490.16000E-03,-1.19699E-03,+3.41589355E+00
-490.08000E-03,-1.19699E-03,+3.61682129E+00
-490.00000E-03,-2.00101E-03,+3.41589355E+00
-489.92000E-03,-2.00101E-03,+3.41589355E+00
-489.84000E-03,-392.97E-06,+3.41589355E+00
-489.76000E-03,-1.19699E-03,+3.41589355E+00
-489.68000E-03,-1.19699E-03,+3.41589355E+00
-489.60000E-03,-1.19699E-03,+3.41589355E+00
-489.52000E-03,-1.19699E-03,+3.41589355E+00
-489.44000E-03,-1.19699E-03,+3.41589355E+00
-489.36000E-03,-392.97E-06,+3.41589355E+00
-489.28000E-03,-1.19699E-03,+3.41589355E+00
-489.20000E-03,-392.97E-06,+3.41589355E+00
-489.12000E-03,-2.80503E-03,+3.41589355E+00
-489.04000E-03,+411.05E-06,+3.41589355E+00
-488.96000E-03,-2.00101E-03,+3.41589355E+00
-488.88000E-03,-1.19699E-03,+3.41589355E+00
-488.80000E-03,-2.00101E-03,+3.41589355E+00
-488.72000E-03,-2.00101E-03,+3.41589355E+00
-488.64000E-03,-392.97E-06,+3.41589355E+00
-488.56000E-03,-2.00101E-03,+3.41589355E+00
-488.48000E-03,+1.21507E-03,+3.41589355E+00
-488.40000E-03,+411.05E-06,+3.61682129E+00
-488.32000E-03,-392.97E-06,+3.41589355E+00
-488.24000E-03,-1.19699E-03,+3.61682129E+00
-488.16000E-03,-1.19699E-03,+3.41589355E+00
-488.08000E-03,-2.00101E-03,+3.41589355E+00
-488.00000E-03,-1.19699E-03,+3.41589355E+00
-487.92000E-03,-392.97E-06,+3.41589355E+00
-487.84000E-03,-1.19699E-03,+3.61682129E+00
-487.76000E-03,-2.00101E-03,+3.61682129E+00
-487.68000E-03,-392.97E-06,+3.41589355E+00
-487.60000E-03,-1.19699E-03,+3.41589355E+00
-487.52000E-03,-2.00101E-03,+3.41589355E+00
-487.44000E-03,-1.19699E-03,+3.41589355E+00
-487.36000E-03,-2.80503E-03,+3.41589355E+00
-487.28000E-03,-2.80503E-03,+3.41589355E+00
-487.20000E-03,-1.19699E-03,+3.61682129E+00
-487.12000E-03,-1.19699E-03,+3.41589355E+00
-487.04000E-03,+411.05E-06,+3.61682129E+00
-486.96000E-03,-1.19699E-03,+3.41589355E+00
-486.88000E-03,-392.97E-06,+3.41589355E+00
-486.80000E-03,-1.19699E-03,+3.41589355E+00
-486.72000E-03,-392.97E-06,+3.41589355E+00
-486.64000E-03,+411.05E-06,+3.41589355E+00
-486.56000E-03,-392.97E-06,+3.41589355E+00
-486.48000E-03,-2.00101E-03,+3.61682129E+00
-486.40000E-03,-392.97E-06,+3.41589355E+00
-486.32000E-03,-392.97E-06,+3.61682129E+00
-486.24000E-03,-1.19699E-03,+3.41589355E+00
-486.16000E-03,-1.19699E-03,+3.41589355E+00
-486.08000E-03,-2.00101E-03,+3.41589355E+00
-486.00000E-03,-1.19699E-03,+3.41589355E+00
-485.92000E-03,-392.97E-06,+3.61682129E+00
-485.84000E-03,-392.97E-06,+3.41589355E+00
-485.76000E-03,-392.97E-06,+3.41589355E+00
-485.68000E-03,-392.97E-06,+3.41589355E+00
-485.60000E-03,-392.97E-06,+3.41589355E+00
-485.52000E-03,-2.80503E-03,+3.41589355E+00
-485.44000E-03,-1.19699E-03,+3.41589355E+00
-485.36000E-03,-392.97E-06,+3.41589355E+00
-485.28000E-03,-2.80503E-03,+3.41589355E+00
-485.20000E-03,+1.21507E-03,+3.41589355E+00
-485.12000E-03,-392.97E-06,+3.41589355E+00
-485.04000E-03,-392.97E-06,+3.41589355E+00
-484.96000E-03,-2.00101E-03,+3.61682129E+00
-484.88000E-03,-2.00101E-03,+3.61682129E+00
-484.80000E-03,-1.19699E-03,+3.61682129E+00
-484.72000E-03,-1.19699E-03,+3.41589355E+00
-484.64000E-03,-2.00101E-03,+3.61682129E+00
-484.56000E-03,+1.21507E-03,+3.41589355E+00
-484.48000E-03,-392.97E-06,+3.41589355E+00
-484.40000E-03,-392.97E-06,+3.61682129E+00
-484.32000E-03,-392.97E-06,+3.41589355E+00
-484.24000E-03,-1.19699E-03,+3.61682129E+00
-484.16000E-03,-392.97E-06,+3.41589355E+00
-484.08000E-03,-392.97E-06,+3.41589355E+00
-484.00000E-03,-392.97E-06,+3.41589355E+00
-483.92000E-03,-2.00101E-03,+3.41589355E+00
-483.84000E-03,-392.97E-06,+3.61682129E+00
-483.76000E-03,+411.05E-06,+3.61682129E+00
-483.68000E-03,+411.05E-06,+3.41589355E+00
-483.60000E-03,-2.80503E-03,+3.41589355E+00
-483.52000E-03,-2.00101E-03,+3.41589355E+00
-483.44000E-03,-2.00101E-03,+3.41589355E+00
-483.36000E-03,-2.00101E-03,+3.41589355E+00
-483.28000E-03,-392.97E-06,+3.41589355E+00
-483.20000E-03,-2.00101E-03,+3.41589355E+00
-483.12000E-03,-392.97E-06,+3.41589355E+00
-483.04000E-03,-2.00101E-03,+3.41589355E+00
-482.96000E-03,-1.19699E-03,+3.61682129E+00
-482.88000E-03,-392.97E-06,+3.41589355E+00
-482.80000E-03,-392.97E-06,+3.61682129E+00
-482.72000E-03,+411.05E-06,+3.41589355E+00
-482.64000E-03,-2.00101E-03,+3.41589355E+00
-482.56000E-03,-1.19699E-03,+3.41589355E+00
-482.48000E-03,-1.19699E-03,+3.41589355E+00
-482.40000E-03,-392.97E-06,+3.41589355E+00
-482.32000E-03,+411.05E-06,+3.41589355E+00
-482.24000E-03,+411.05E-06,+3.41589355E+00
-482.16000E-03,-392.97E-06,+3.41589355E+00
-482.08000E-03,-1.19699E-03,+3.61682129E+00
-482.00000E-03,-392.97E-06,+3.61682129E+00
-481.92000E-03,-2.00101E-03,+3.41589355E+00
-481.84000E-03,-1.19699E-03,+3.61682129E+00
-481.76000E-03,-2.00101E-03,+3.41589355E+00
-481.68000E-03,-392.97E-06,+3.61682129E+00
-481.60000E-03,-1.19699E-03,+3.61682129E+00
-481.52000E-03,-2.00101E-03,+3.41589355E+00
-481.44000E-03,-2.00101E-03,+3.41589355E+00
-481.36000E-03,-392.97E-06,+3.41589355E+00
-481.28000E-03,-392.97E-06,+3.61682129E+00
-481.20000E-03,-1.19699E-03,+3.41589355E+00
-481.12000E-03,-392.97E-06,+3.41589355E+00
-481.04000E-03,-1.19699E-03,+3.41589355E+00
-480.96000E-03,+411.05E-06,+3.61682129E+00
-480.88000E-03,+411.05E-06,+3.41589355E+00
-480.80000E-03,-2.00101E-03,+3.41589355E+00
-480.72000E-03,-392.97E-06,+3.41589355E+00
-480.64000E-03,-1.19699E-03,+3.41589355E+00
-480.56000E-03,-392.97E-06,+3.41589355E+00
-480.48000E-03,-1.19699E-03,+3.41589355E+00
-480.40000E-03,-1.19699E-03,+3.41589355E+00
-480.32000E-03,-2.00101E-03,+3.61682129E+00
-480.24000E-03,-1.19699E-03,+3.41589355E+00
-480.16000E-03,-392.97E-06,+3.41589355E+00
-480.08000E-03,-2.00101E-03,+3.41589355E+00
-480.00000E-03,-1.19699E-03,+3.41589355E+00
-479.92000E-03,-2.00101E-03,+3.61682129E+00
-479.84000E-03,-1.19699E-03,+3.41589355E+00
-479.76000E-03,-1.19699E-03,+3.61682129E+00
-479.68000E-03,-392.97E-06,+3.61682129E+00
-479.60000E-03,-392.97E-06,+3.61682129E+00
-479.52000E-03,-392.97E-06,+3.41589355E+00
-479.44000E-03,-1.19699E-03,+3.41589355E+00
-479.36000E-03,-1.19699E-03,+3.61682129E+00
-479.28000E-03,-2.00101E-03,+3.41589355E+00
-479.20000E-03,-1.19699E-03,+3.41589355E+00
-479.12000E-03,-392.97E-06,+3.61682129E+00
-479.04000E-03,-392.97E-06,+3.61682129E+00
-478.96000E-03,-1.19699E-03,+3.61682129E+00
-478.88000E-03,-392.97E-06,+3.41589355E+00
-478.80000E-03,-2.00101E-03,+3.61682129E+00
-478.72000E-03,-1.19699E-03,+3.41589355E+00
-478.64000E-03,-2.00101E-03,+3.41589355E+00
-478.56000E-03,-1.19699E-03,+3.61682129E+00
-478.48000E-03,-392.97E-06,+3.61682129E+00
-478.40000E-03,-1.19699E-03,+3.41589355E+00
-478.32000E-03,+411.05E-06,+3.41589355E+00
-478.24000E-03,-2.00101E-03,+3.41589355E+00
-478.16000E-03,-2.00101E-03,+3.41589355E+00
-478.08000E-03,-1.19699E-03,+3.41589355E+00
-478.00000E-03,-392.97E-06,+3.61682129E+00
-477.92000E-03,-2.00101E-03,+3.41589355E+00
-477.84000E-03,-392.97E-06,+3.41589355E+00
-477.76000E-03,-1.19699E-03,+3.41589355E+00
-477.68000E-03,-1.19699E-03,+3.41589355E+00
-477.60000E-03,-1.19699E-03,+3.41589355E+00
-477.52000E-03,-1.19699E-03,+3.61682129E+00
-477.44000E-03,-2.80503E-03,+3.41589355E+00
-477.36000E-03,-1.19699E-03,+3.41589355E+00
-477.28000E-03,-392.97E-06,+3.61682129E+00
-477.20000E-03,-1.19699E-03,+3.41589355E+00
-477.12000E-03,-1.19699E-03,+3.61682129E+00
-477.04000E-03,-2.00101E-03,+3.41589355E+00
-476.96000E-03,-392.97E-06,+3.41589355E+00
-476.88000E-03,-1.19699E-03,+3.61682129E+00
-476.80000E-03,+411.05E-06,+3.41589355E+00
-476.72000E-03,-2.00101E-03,+3.41589355E+00
-476.64000E-03,-392.97E-06,+3.41589355E+00
-476.56000E-03,-1.19699E-03,+3.41589355E+00
-476.48000E-03,+411.05E-06,+3.41589355E+00
-476.40000E-03,-392.97E-06,+3.41589355E+00
-476.32000E-03,-1.19699E-03,+3.41589355E+00
-476.24000E-03,-2.00101E-03,+3.41589355E+00
-476.16000E-03,-1.19699E-03,+3.41589355E+00
-476.08000E-03,-1.19699E-03,+3.41589355E+00
-476.00000E-03,-1.19699E-03,+3.41589355E+00
-475.92000E-03,+411.05E-06,+3.61682129E+00
-475.84000E-03,-2.00101E-03,+3.41589355E+00
-475.76000E-03,-392.97E-06,+3.41589355E+00
-475.68000E-03,-392.97E-06,+3.41589355E+00
-475.60000E-03,-392.97E-06,+3.41589355E+00
-475.52000E-03,+411.05E-06,+3.61682129E+00
-475.44000E-03,-1.19699E-03,+3.41589355E+00
-475.36000E-03,-392.97E-06,+3.61682129E+00
-475.28000E-03,+411.05E-06,+3.41589355E+00
-475.20000E-03,-1.19699E-03,+3.41589355E+00
-475.12000E-03,-392.97E-06,+3.41589355E+00
-475.04000E-03,-1.19699E-03,+3.61682129E+00
-474.96000E-03,-2.00101E-03,+3.41589355E+00
-474.88000E-03,-2.00101E-03,+3.41589355E+00
-474.80000E-03,-1.19699E-03,+3.41589355E+00
-474.72000E-03,-1.19699E-03,+3.41589355E+00
-474.64000E-03,-1.19699E-03,+3.61682129E+00
-474.56000E-03,-392.97E-06,+3.61682129E+00
-474.48000E-03,-392.97E-06,+3.41589355E+00
-474.40000E-03,-392.97E-06,+3.41589355E+00
-474.32000E-03,-1.19699E-03,+3.61682129E+00
-474.24000E-03,-1.19699E-03,+3.41589355E+00
-474.16000E-03,-392.97E-06,+3.41589355E+00
-474.08000E-03,-1.19699E-03,+3.41589355E+00
-474.00000E-03,-2.00101E-03,+3.41589355E+00
-473.92000E-03,-392.97E-06,+3.41589355E+00
-473.84000E-03,-392.97E-06,+3.41589355E+00
-473.76000E-03,-392.97E-06,+3.41589355E+00
-473.68000E-03,-1.19699E-03,+3.41589355E+00
-473.60000E-03,-2.00101E-03,+3.41589355E+00
-473.52000E-03,-1.19699E-03,+3.41589355E+00
-473.44000E-03,-2.00101E-03,+3.41589355E+00
-473.36000E-03,-2.00101E-03,+3.41589355E+00
-473.28000E-03,-2.00101E-03,+3.41589355E+00
-473.20000E-03,+411.05E-06,+3.41589355E+00
-473.12000E-03,-392.97E-06,+3.41589355E+00
-473.04000E-03,-1.19699E-03,+3.61682129E+00
-472.96000E-03,-1.19699E-03,+3.61682129E+00
-472.88000E-03,-2.80503E-03,+3.61682129E+00
-472.80000E-03,+411.05E-06,+3.41589355E+00
-472.72000E-03,-2.80503E-03,+3.41589355E+00
-472.64000E-03,-392.97E-06,+3.41589355E+00
-472.56000E-03,-2.00101E-03,+3.41589355E+00
-472.48000E-03,+411.05E-06,+3.61682129E+00
-472.40000E-03,-392.97E-06,+3.61682129E+00
-472.32000E-03,-1.19699E-03,+3.61682129E+00
-472.24000E-03,-2.00101E-03,+3.41589355E+00
-472.16000E-03,-1.19699E-03,+3.41589355E+00
-472.08000E-03,-392.97E-06,+3.41589355E+00
-472.00000E-03,+411.05E-06,+3.41589355E+00
