x-axis,1,F1
second,Ampere,Volt
-200.00000E-03,-392.97E-06,+3.41589355E+00
-199.96800E-03,-1.19699E-03,+3.41589355E+00
-199.93600E-03,+1.21507E-03,+3.61682129E+00
-199.90400E-03,-1.19699E-03,+3.41589355E+00
-199.87200E-03,-1.19699E-03,+3.41589355E+00
-199.84000E-03,-392.97E-06,+3.41589355E+00
-199.80800E-03,+411.05E-06,+3.41589355E+00
-199.77600E-03,-1.19699E-03,+3.41589355E+00
-199.74400E-03,-2.00101E-03,+3.61682129E+00
-199.71200E-03,-392.97E-06,+3.41589355E+00
-199.68000E-03,-1.19699E-03,+3.41589355E+00
-199.64800E-03,+411.05E-06,+3.61682129E+00
-199.61600E-03,+411.05E-06,+3.61682129E+00
-199.58400E-03,+411.05E-06,+3.41589355E+00
-199.55200E-03,-392.97E-06,+3.61682129E+00
-199.52000E-03,+411.05E-06,+3.41589355E+00
-199.48800E-03,-392.97E-06,+3.41589355E+00
-199.45600E-03,-392.97E-06,+3.41589355E+00
-199.42400E-03,-392.97E-06,+3.41589355E+00
-199.39200E-03,+411.05E-06,+3.61682129E+00
-199.36000E-03,-392.97E-06,+3.41589355E+00
-199.32800E-03,-1.19699E-03,+3.41589355E+00
-199.29600E-03,-392.97E-06,+3.61682129E+00
-199.26400E-03,-392.97E-06,+3.41589355E+00
-199.23200E-03,-392.97E-06,+3.41589355E+00
-199.20000E-03,-392.97E-06,+3.41589355E+00
-199.16800E-03,+1.21507E-03,+3.61682129E+00
-199.13600E-03,-392.97E-06,+3.41589355E+00
-199.10400E-03,-1.19699E-03,+3.41589355E+00
-199.07200E-03,-392.97E-06,+3.41589355E+00
-199.04000E-03,-1.19699E-03,+3.41589355E+00
-199.00800E-03,+411.05E-06,+3.41589355E+00
-198.97600E-03,-392.97E-06,+3.41589355E+00
-198.94400E-03,-392.97E-06,+3.41589355E+00
-198.91200E-03,-1.19699E-03,+3.41589355E+00
-198.88000E-03,-2.00101E-03,+3.41589355E+00
-198.84800E-03,-1.19699E-03,+3.61682129E+00
-198.81600E-03,-1.19699E-03,+3.41589355E+00
-198.78400E-03,-1.19699E-03,+3.41589355E+00
-198.75200E-03,-1.19699E-03,+3.41589355E+00
-198.72000E-03,-392.97E-06,+3.41589355E+00
-198.68800E-03,-2.00101E-03,+3.41589355E+00
-198.65600E-03,-392.97E-06,+3.61682129E+00
-198.62400E-03,-392.97E-06,+3.41589355E+00
-198.59200E-03,+2.01909E-03,+3.41589355E+00
-198.56000E-03,+411.05E-06,+3.41589355E+00
-198.52800E-03,-392.97E-06,+3.61682129E+00
-198.49600E-03,-392.97E-06,+3.41589355E+00
-198.46400E-03,-392.97E-06,+3.61682129E+00
-198.43200E-03,+2.01909E-03,+3.41589355E+00
-198.40000E-03,-1.19699E-03,+3.41589355E+00
-198.36800E-03,+411.05E-06,+3.41589355E+00
-198.33600E-03,-1.19699E-03,+3.41589355E+00
-198.30400E-03,-392.97E-06,+3.41589355E+00
-198.27200E-03,-1.19699E-03,+3.61682129E+00
-198.24000E-03,-2.00101E-03,+3.41589355E+00
-198.20800E-03,-392.97E-06,+3.41589355E+00
-198.17600E-03,-392.97E-06,+3.41589355E+00
-198.14400E-03,-392.97E-06,+3.41589355E+00
-198.11200E-03,+411.05E-06,+3.41589355E+00
-198.08000E-03,+411.05E-06,+3.41589355E+00
-198.04800E-03,-392.97E-06,+3.41589355E+00
-198.01600E-03,+1.21507E-03,+3.61682129E+00
-197.98400E-03,-392.97E-06,+3.41589355E+00
-197.95200E-03,-392.97E-06,+3.41589355E+00
-197.92000E-03,-1.19699E-03,+3.41589355E+00
-197.88800E-03,-392.97E-06,+3.41589355E+00
-197.85600E-03,-2.00101E-03,+3.61682129E+00
-197.82400E-03,-1.19699E-03,+3.41589355E+00
-197.79200E-03,+411.05E-06,+3.41589355E+00
-197.76000E-03,-1.19699E-03,+3.41589355E+00
-197.72800E-03,-392.97E-06,+3.41589355E+00
-197.69600E-03,-1.19699E-03,+3.41589355E+00
-197.66400E-03,+411.05E-06,+3.41589355E+00
-197.63200E-03,-1.19699E-03,+3.61682129E+00
-197.60000E-03,-1.19699E-03,+3.41589355E+00
-197.56800E-03,-392.97E-06,+3.61682129E+00
-197.53600E-03,-1.19699E-03,+3.41589355E+00
-197.50400E-03,-1.19699E-03,+3.61682129E+00
-197.47200E-03,+411.05E-06,+3.41589355E+00
-197.44000E-03,+411.05E-06,+3.41589355E+00
-197.40800E-03,-1.19699E-03,+3.41589355E+00
-197.37600E-03,-392.97E-06,+3.61682129E+00
-197.34400E-03,+411.05E-06,+3.61682129E+00
-197.31200E-03,-392.97E-06,+3.41589355E+00
-197.28000E-03,-1.19699E-03,+3.61682129E+00
-197.24800E-03,-392.97E-06,+3.41589355E+00
-197.21600E-03,-1.19699E-03,+3.81774902E+00
-197.18400E-03,+411.05E-06,+3.41589355E+00
-197.15200E-03,-1.19699E-03,+3.41589355E+00
-197.12000E-03,+411.05E-06,+3.61682129E+00
-197.08800E-03,-392.97E-06,+3.41589355E+00
-197.05600E-03,-392.97E-06,+3.61682129E+00
-197.02400E-03,-392.97E-06,+3.41589355E+00
-196.99200E-03,+411.05E-06,+3.41589355E+00
-196.96000E-03,+411.05E-06,+3.41589355E+00
-196.92800E-03,-392.97E-06,+3.41589355E+00
-196.89600E-03,-1.19699E-03,+3.41589355E+00
-196.86400E-03,-392.97E-06,+3.41589355E+00
-196.83200E-03,+411.05E-06,+3.61682129E+00
-196.80000E-03,-392.97E-06,+3.41589355E+00
-196.76800E-03,+1.21507E-03,+3.61682129E+00
-196.73600E-03,+411.05E-06,+3.41589355E+00
-196.70400E-03,-392.97E-06,+3.41589355E+00
-196.67200E-03,+1.21507E-03,+3.41589355E+00
-196.64000E-03,-392.97E-06,+3.41589355E+00
-196.60800E-03,+411.05E-06,+3.61682129E+00
-196.57600E-03,-392.97E-06,+3.61682129E+00
-196.54400E-03,-2.00101E-03,+3.41589355E+00
-196.51200E-03,-1.19699E-03,+3.61682129E+00
-196.48000E-03,+411.05E-06,+3.41589355E+00
-196.44800E-03,+411.05E-06,+3.61682129E+00
-196.41600E-03,-392.97E-06,+3.61682129E+00
-196.38400E-03,-392.97E-06,+3.41589355E+00
-196.35200E-03,-1.19699E-03,+3.61682129E+00
-196.32000E-03,+411.05E-06,+3.61682129E+00
-196.28800E-03,-1.19699E-03,+3.41589355E+00
-196.25600E-03,-392.97E-06,+3.41589355E+00
-196.22400E-03,-392.97E-06,+3.61682129E+00
-196.19200E-03,+411.05E-06,+3.61682129E+00
-196.16000E-03,+1.21507E-03,+3.41589355E+00
-196.12800E-03,-392.97E-06,+3.61682129E+00
-196.09600E-03,+411.05E-06,+3.41589355E+00
