x-axis,1,F1
second,Ampere,Volt
-5.2500000E+00,-719.8E-06,+3.1639404E+00
-5.2498400E+00,-719.8E-06,+3.1639404E+00
-5.2496800E+00,-719.8E-06,+3.1639404E+00
-5.2495200E+00,-719.8E-06,+3.1639404E+00
-5.2493600E+00,-317.8E-06,+3.1639404E+00
-5.2492000E+00,-317.8E-06,+3.1639404E+00
-5.2490400E+00,-1.1219E-03,+3.1639404E+00
-5.2488800E+00,-719.8E-06,+3.1639404E+00
-5.2487200E+00,-1.1219E-03,+3.1639404E+00
-5.2485600E+00,-1.1219E-03,+3.1639404E+00
-5.2484000E+00,-1.1219E-03,+3.1639404E+00
-5.2482400E+00,+84.2E-06,+3.1639404E+00
-5.2480800E+00,-719.8E-06,+3.1639404E+00
-5.2479200E+00,-317.8E-06,+3.1639404E+00
-5.2477600E+00,-719.8E-06,+3.1639404E+00
-5.2476000E+00,-719.8E-06,+3.1639404E+00
-5.2474400E+00,-719.8E-06,+3.1639404E+00
-5.2472800E+00,+84.2E-06,+3.1639404E+00
-5.2471200E+00,-317.8E-06,+3.1639404E+00
-5.2469600E+00,-719.8E-06,+3.1639404E+00
-5.2468000E+00,-1.1219E-03,+3.1639404E+00
-5.2466400E+00,-719.8E-06,+3.1639404E+00
-5.2464800E+00,-719.8E-06,+3.1639404E+00
-5.2463200E+00,-719.8E-06,+3.1639404E+00
-5.2461600E+00,-317.8E-06,+3.1639404E+00
-5.2460000E+00,-719.8E-06,+3.1639404E+00
-5.2458400E+00,+84.2E-06,+3.1639404E+00
-5.2456800E+00,-719.8E-06,+3.1639404E+00
-5.2455200E+00,-719.8E-06,+3.1639404E+00
-5.2453600E+00,-719.8E-06,+3.1639404E+00
-5.2452000E+00,-719.8E-06,+3.1639404E+00
-5.2450400E+00,-719.8E-06,+3.1639404E+00
-5.2448800E+00,-317.8E-06,+3.1639404E+00
-5.2447200E+00,-719.8E-06,+3.1639404E+00
-5.2445600E+00,-719.8E-06,+3.1639404E+00
